atomic_number,symbol,name,atomic_weight,period,group,series,block,electronegativity,atomic_radius,covalent_radius,ionization_energy,z_eff_slater,density,melting_point,boiling_point
1,H,Hydrogen,1.008,1,1.0,Nonmetals,s,2.2,25.0,32.0,13.598434599702,1.0,8.2e-05,13.989999999999952,20.270999999999987
2,He,Helium,4.002602,1,18.0,Noble gases,s,,120.0,46.0,24.587389011,1.7,0.000164,,4.22199999999998
3,Li,Lithium,6.94,2,1.0,Alkali metals,s,0.98,145.0,133.0,5.391714996,1.3,0.534,453.65,1615.15
4,Be,Beryllium,9.0121831,2,2.0,Alkaline earth metals,s,1.57,105.0,102.0,9.322699,1.9500000000000002,1.85,1560.15,2741.15
5,B,Boron,10.81,2,13.0,Metalloids,p,2.04,85.0,85.0,8.298019,2.6,2.34,2350.15,4273.15
6,C,Carbon,12.011,2,14.0,Nonmetals,p,2.55,70.0,75.0,11.260288,3.25,2.2,,4098.15
7,N,Nitrogen,14.007,2,15.0,Nonmetals,p,3.04,65.0,71.0,14.53413,3.9000000000000004,0.001145,63.14999999999998,77.35499999999999
8,O,Oxygen,15.999,2,16.0,Nonmetals,p,3.44,60.0,63.0,13.618055,4.55,0.0013080000000000001,54.359999999999985,90.18799999999999
9,F,Fluorine,18.998403163,2,17.0,Halogens,p,3.98,50.0,64.0,17.42282,5.2,0.001553,53.47999999999999,85.03999999999996
10,Ne,Neon,20.1797,2,18.0,Noble gases,p,,160.0,67.0,21.564541,5.8500000000000005,0.000825,24.559999999999974,27.103999999999985
11,Na,Sodium,22.98976928,3,1.0,Alkali metals,s,0.93,180.0,155.0,5.13907696,2.1999999999999993,0.97,370.94399999999996,1156.0900000000001
12,Mg,Magnesium,24.305,3,2.0,Alkaline earth metals,s,1.31,150.0,139.0,7.646236,2.8499999999999996,1.74,923.15,1363.15
13,Al,Aluminum,26.9815385,3,13.0,Poor metals,p,1.61,125.0,126.0,5.985769,3.5,2.7,933.473,2792.15
14,Si,Silicon,28.085,3,14.0,Metalloids,p,1.9,110.0,115.99999999999999,8.15168,4.149999999999999,2.3296,1687.15,3538.15
15,P,Phosphorus,30.973761998,3,15.0,Nonmetals,p,2.19,100.0,111.00000000000001,10.486686,4.799999999999999,1.823,,
16,S,Sulfur,32.06,3,16.0,Nonmetals,p,2.58,100.0,103.0,10.36001,5.449999999999999,2.07,,717.76
17,Cl,Chlorine,35.45,3,17.0,Halogens,p,3.16,100.0,99.0,12.967633,6.1,0.002898,171.64999999999998,239.10999999999999
18,Ar,Argon,39.948,3,18.0,Noble gases,p,,71.0,96.0,15.7596119,6.75,0.001633,83.80999999999997,87.30199999999996
19,K,Potassium,39.0983,4,1.0,Alkali metals,s,0.82,220.0,196.0,4.34066373,2.1999999999999993,0.89,336.65,1032.15
20,Ca,Calcium,40.078,4,2.0,Alkaline earth metals,s,1.0,180.0,171.0,6.11315547,2.849999999999998,1.54,1115.15,1757.15
21,Sc,Scandium,44.955908,4,3.0,Transition metals,d,1.36,160.0,148.0,6.56149,3.0,2.99,1814.15,3109.15
22,Ti,Titanium,47.867,4,4.0,Transition metals,d,1.54,140.0,136.0,6.82812,3.1499999999999986,4.506,1943.15,3560.15
23,V,Vanadium,50.9415,4,5.0,Transition metals,d,1.63,135.0,134.0,6.746187,3.299999999999997,6.0,2183.15,3680.15
24,Cr,Chromium,51.9961,4,6.0,Transition metals,d,1.66,140.0,122.0,6.76651,2.950000000000003,7.15,2180.15,2944.15
25,Mn,Manganese,54.938044,4,7.0,Transition metals,d,1.55,140.0,119.0,7.434038,3.6000000000000014,7.3,1519.15,2334.15
26,Fe,Iron,55.845,4,8.0,Transition metals,d,1.83,140.0,115.99999999999999,7.9024681,3.75,7.87,1811.15,3134.15
27,Co,Cobalt,58.933194,4,9.0,Transition metals,d,1.88,135.0,111.00000000000001,7.88101,3.8999999999999986,8.86,1768.15,3200.15
28,Ni,Nickel,58.6934,4,10.0,Transition metals,d,1.91,135.0,110.00000000000001,7.639878,4.049999999999997,8.9,1728.15,3186.15
29,Cu,Copper,63.546,4,11.0,Transition metals,d,1.9,135.0,112.00000000000001,7.72638,3.700000000000003,8.96,1357.77,2833.15
30,Zn,Zinc,65.38,4,12.0,Transition metals,d,1.65,135.0,118.0,9.394197,4.350000000000001,7.134,692.6769999999999,1180.15
31,Ga,Gallium,69.723,4,13.0,Poor metals,p,1.81,130.0,124.0,5.999302,5.0000000000000036,5.91,302.91459999999995,2502.15
32,Ge,Germanium,72.63,4,14.0,Metalloids,p,2.01,125.0,121.0,7.899435,5.650000000000002,5.3234,1211.4,3106.15
33,As,Arsenic,74.921595,4,15.0,Metalloids,p,2.18,115.0,121.0,9.78855,6.300000000000004,5.75,1090.15,889.15
34,Se,Selenium,78.971,4,16.0,Nonmetals,p,2.55,115.0,115.99999999999999,9.752368,6.950000000000003,4.809,,958.15
35,Br,Bromine,79.904,4,17.0,Halogens,p,2.96,115.0,113.99999999999999,11.81381,7.600000000000001,3.1028,265.95,331.95
36,Kr,Krypton,83.798,4,18.0,Noble gases,p,,,117.0,13.9996055,8.250000000000004,0.0034249999999999997,115.77999999999997,119.73499999999999
37,Rb,Rubidium,85.4678,5,1.0,Alkali metals,s,0.82,235.0,210.0,4.1771281,2.200000000000003,1.53,312.45,961.15
38,Sr,Strontium,87.62,5,2.0,Alkaline earth metals,s,0.95,200.0,185.0,5.69486745,2.8500000000000014,2.64,1050.15,1650.15
39,Y,Yttrium,88.90584,5,3.0,Transition metals,d,1.22,180.0,163.0,6.21726,3.0,4.47,1795.15,3618.15
40,Zr,Zirconium,91.224,5,4.0,Transition metals,d,1.33,155.0,154.0,6.634126,3.1499999999999986,6.52,2127.15,4679.15
41,Nb,Niobium,92.90637,5,5.0,Transition metals,d,1.6,145.0,147.0,6.75885,2.799999999999997,8.57,2750.15,5014.15
42,Mo,Molybdenum,95.95,5,6.0,Transition metals,d,2.16,145.0,138.0,7.09243,2.950000000000003,10.2,2895.15,4912.15
43,Tc,Technetium,97.90721,5,7.0,Transition metals,d,2.1,135.0,128.0,7.11938,3.6000000000000014,11.0,2430.15,4535.15
44,Ru,Ruthenium,101.07,5,8.0,Transition metals,d,2.2,130.0,125.0,7.3605,3.25,12.1,2606.15,4420.15
45,Rh,Rhodium,102.9055,5,9.0,Transition metals,d,2.28,135.0,125.0,7.4589,3.3999999999999986,12.4,2236.15,3968.15
46,Pd,Palladium,106.42,5,10.0,Transition metals,d,2.2,140.0,120.0,8.336839,6.850000000000001,12.0,1827.9499999999998,3236.15
47,Ag,Silver,107.8682,5,11.0,Transition metals,d,1.93,160.0,128.0,7.576234,3.700000000000003,10.5,1234.9299999999998,2435.15
48,Cd,Cadmium,112.414,5,12.0,Transition metals,d,1.69,155.0,136.0,8.99382,4.350000000000001,8.69,594.219,1040.15
49,In,Indium,114.818,5,13.0,Poor metals,p,1.78,155.0,142.0,5.7863558,5.0,7.31,429.7485,2300.15
50,Sn,Tin,118.71,5,14.0,Poor metals,p,1.96,145.0,140.0,7.343918,5.650000000000006,7.287,,2859.15
51,Sb,Antimony,121.76,5,15.0,Metalloids,p,2.05,145.0,140.0,8.608389,6.300000000000004,6.68,903.778,1860.15
52,Te,Tellurium,127.6,5,16.0,Metalloids,p,2.1,140.0,136.0,9.009808,6.950000000000003,6.232,722.66,1261.15
53,I,Iodine,126.90447,5,17.0,Halogens,p,2.66,140.0,133.0,10.451236,7.600000000000001,4.933,386.84999999999997,457.54999999999995
54,Xe,Xenon,131.293,5,18.0,Noble gases,p,2.6,,131.0,12.1298437,8.25,0.005365999999999999,161.39999999999998,165.051
55,Cs,Cesium,132.90545196,6,1.0,Alkali metals,s,0.79,260.0,231.99999999999997,3.89390572743,2.200000000000003,1.873,301.65,944.15
56,Ba,Barium,137.327,6,2.0,Alkaline earth metals,s,0.89,215.0,196.0,5.2116646,2.8500000000000014,3.62,1000.15,2118.15
57,La,Lanthanum,138.90547,6,3.0,Lanthanides,d,1.1,195.0,180.0,5.5769,3.0,6.15,1193.15,3737.15
58,Ce,Cerium,140.116,6,,Lanthanides,f,1.12,185.0,163.0,5.5386,3.0,6.77,1072.15,3716.15
59,Pr,Praseodymium,140.90766,6,,Lanthanides,f,1.13,185.0,176.0,5.4702,2.8500000000000014,6.773,1204.15,3793.15
60,Nd,Neodymium,144.242,6,,Lanthanides,f,1.14,185.0,174.0,5.525,2.8500000000000014,7.01,1289.15,3347.15
61,Pm,Promethium,144.91276,6,,Lanthanides,f,,185.0,173.0,5.58187,2.8500000000000014,7.26,1315.15,
62,Sm,Samarium,150.36,6,,Lanthanides,f,1.17,185.0,172.0,5.643722,2.8500000000000014,7.52,1345.15,2067.15
63,Eu,Europium,151.964,6,,Lanthanides,f,,185.0,168.0,5.670385,2.8500000000000014,5.24,1095.15,1802.15
64,Gd,Gadolinium,157.25,6,,Lanthanides,f,1.2,180.0,169.0,6.1498,3.0,7.9,1586.15,3546.15
65,Tb,Terbium,158.92535,6,,Lanthanides,f,,175.0,168.0,5.8638,2.8500000000000014,8.23,1632.15,3503.15
66,Dy,Dysprosium,162.5,6,,Lanthanides,f,1.22,175.0,167.0,5.939061,2.8500000000000014,8.55,1685.15,2840.15
67,Ho,Holmium,164.93033,6,,Lanthanides,f,1.23,175.0,166.0,6.0215,2.8500000000000085,8.8,1745.15,2973.15
68,Er,Erbium,167.259,6,,Lanthanides,f,1.24,175.0,165.0,6.1077,2.8500000000000085,9.07,1802.15,3141.15
69,Tm,Thulium,168.93422,6,,Lanthanides,f,1.25,175.0,164.0,6.184402,2.8500000000000085,9.321,1818.15,2223.15
70,Yb,Ytterbium,173.045,6,,Lanthanides,f,,175.0,170.0,6.25416,2.8500000000000085,6.9,1097.15,1469.15
71,Lu,Lutetium,174.9668,6,,Transition metals,f,1.0,175.0,162.0,5.425871,3.0,9.84,1936.15,3675.15
72,Hf,Hafnium,178.49,6,4.0,Transition metals,d,1.3,155.0,152.0,6.82507,3.1500000000000057,13.3,2506.15,4873.15
73,Ta,Tantalum,180.94788,6,5.0,Transition metals,d,1.5,145.0,146.0,7.549571,3.3000000000000114,16.4,3290.15,5728.15
74,W,Tungsten,183.84,6,6.0,Transition metals,d,1.7,135.0,137.0,7.86403,3.450000000000003,19.3,3687.15,5828.15
75,Re,Rhenium,186.207,6,7.0,Transition metals,d,1.9,135.0,131.0,7.83352,3.6000000000000085,20.8,3458.15,5863.15
76,Os,Osmium,190.23,6,8.0,Transition metals,d,2.2,130.0,129.0,8.43823,3.75,22.5872,3306.15,5281.15
77,Ir,Iridium,192.217,6,9.0,Transition metals,d,2.2,135.0,122.0,8.96702,3.9000000000000057,22.5622,2719.15,4701.15
78,Pt,Platinum,195.084,6,10.0,Transition metals,d,2.2,135.0,123.0,8.95883,3.549999999999997,21.5,2041.35,4098.15
79,Au,Gold,196.966569,6,11.0,Transition metals,d,2.4,135.0,124.0,9.225554,3.700000000000003,19.3,1337.33,3109.15
80,Hg,Mercury,200.592,6,12.0,Transition metals,d,1.9,150.0,133.0,10.437504,4.3500000000000085,13.5336,234.32099999999997,629.769
81,Tl,Thallium,204.38,6,13.0,Poor metals,p,1.8,190.0,144.0,6.1082873,5.0,11.8,577.15,1746.15
82,Pb,Lead,207.2,6,14.0,Poor metals,p,1.8,180.0,144.0,7.4166799,5.650000000000006,11.3,600.612,2022.15
83,Bi,Bismuth,208.9804,6,15.0,Poor metals,p,1.9,160.0,151.0,7.285516,6.299999999999997,9.79,544.5519999999999,1837.15
84,Po,Polonium,209.0,6,16.0,Metalloids,p,2.0,190.0,145.0,8.41807,6.950000000000003,9.2,527.15,1235.15
85,At,Astatine,210.0,6,17.0,Halogens,p,2.2,,147.0,9.31751,7.6000000000000085,7.0,575.15,
86,Rn,Radon,222.0,6,18.0,Noble gases,p,,,142.0,10.7485,8.25,0.009074,202.14999999999998,211.45
87,Fr,Francium,223.0,7,1.0,Alkali metals,s,0.7,,223.0,4.0727411,2.200000000000003,1.87,294.15,
88,Ra,Radium,226.0,7,2.0,Alkaline earth metals,s,0.9,215.0,200.99999999999997,5.2784239,2.8500000000000085,5.0,969.15,
89,Ac,Actinium,227.0,7,3.0,Actinides,d,1.1,195.0,186.0,5.380235,3.0,10.0,1323.15,3473.15
90,Th,Thorium,232.0377,7,,Actinides,f,1.3,180.0,175.0,6.3067,3.1500000000000057,11.7,2023.15,5058.15
91,Pa,Protactinium,231.03588,7,,Actinides,f,1.5,180.0,169.0,5.89,3.0,15.4,1845.15,
92,U,Uranium,238.02891,7,,Actinides,f,1.7,175.0,170.0,6.19405,3.0,19.1,1408.15,4404.15
93,Np,Neptunium,237.0,7,,Actinides,f,1.3,175.0,171.0,6.26554,3.0,20.2,917.15,
94,Pu,Plutonium,244.0,7,,Actinides,f,1.3,175.0,172.0,6.02576,2.8500000000000085,19.7,913.15,3501.15
95,Am,Americium,243.0,7,,Actinides,f,,175.0,166.0,5.97381,2.8500000000000085,12.0,1449.15,
96,Cm,Curium,247.0,7,,Actinides,f,,,166.0,5.992241,3.0,13.51,1618.15,
97,Bk,Berkelium,247.0,7,,Actinides,f,,,168.0,6.19785,2.8500000000000085,14.78,1259.15,
98,Cf,Californium,251.0,7,,Actinides,f,,,168.0,6.281878,2.8500000000000085,15.1,1173.15,
99,Es,Einsteinium,252.0,7,,Actinides,f,,,165.0,6.3684,2.8500000000000085,8.84,1133.15,
100,Fm,Fermium,257.0,7,,Actinides,f,,,167.0,6.5,2.8500000000000085,9.7,1800.15,
101,Md,Mendelevium,258.0,7,,Actinides,f,,,173.0,6.58,2.8500000000000085,10.3,1100.15,
102,No,Nobelium,259.0,7,,Actinides,f,,,176.0,6.62621,2.8500000000000085,9.9,1100.15,
103,Lr,Lawrencium,262.0,7,,Transition metals,f,,,161.0,4.96,3.5,15.6,1900.15,
104,Rf,Rutherfordium,267.0,7,4.0,Transition metals,d,,,157.0,6.02,3.1500000000000057,23.3,,
105,Db,Dubnium,268.0,7,5.0,Transition metals,d,,,149.0,6.8,3.3000000000000114,29.3,,
106,Sg,Seaborgium,271.0,7,6.0,Transition metals,d,,,143.0,7.8,3.450000000000003,35.0,,
107,Bh,Bohrium,274.0,7,7.0,Transition metals,d,,,141.0,7.7,3.6000000000000085,37.1,,
108,Hs,Hassium,269.0,7,8.0,Transition metals,d,,,134.0,7.6,3.75,40.7,,
109,Mt,Meitnerium,276.0,7,9.0,Transition metals,d,,,129.0,,3.9000000000000057,37.4,,
110,Ds,Darmstadtium,281.0,7,10.0,Transition metals,d,,,128.0,,3.549999999999997,34.8,,
111,Rg,Roentgenium,281.0,7,11.0,Transition metals,d,,,121.0,,3.700000000000003,28.7,,
112,Cn,Copernicium,285.0,7,12.0,Transition metals,d,,,122.0,,4.3500000000000085,14.0,,
113,Nh,Nihonium,286.0,7,13.0,Poor metals,p,,,136.0,,5.0,16.0,,
114,Fl,Flerovium,289.0,7,14.0,Poor metals,p,,,143.0,,5.650000000000006,9.928,,
115,Mc,Moscovium,288.0,7,15.0,Poor metals,p,,,162.0,,6.299999999999997,13.5,,
116,Lv,Livermorium,293.0,7,16.0,Poor metals,p,,,175.0,,6.950000000000003,12.9,,
117,Ts,Tennessine,294.0,7,17.0,Halogens,p,,,165.0,,7.6000000000000085,7.2,,
118,Og,Oganesson,294.0,7,18.0,Noble gases,p,,,157.0,,8.25,7.0,,
